IPO Status,Ticker Code,Company Name,Sector,Subsector,Listing Board,Final Price (Rp),Return D1,Return D2,Return D3,Return D4,Return D5,Return D6,Return D7,Return from Listing Date,Line of Business,Address,Website,Number of shares offered,% of Total Shares,Participant Admin,Underwriter(s),Book Building Opening,Book Building Closing,Lowest Book Building Price (Rp),Highest Book Building Price (Rp),Opening of Offering Period,Closing of Offering Period,Closing Date,Distribution Date,Listing Date,Warrant per share ratio,Exercise Price (Warrant) (Rp)
Closed,AXIO,PT Tera Data Indonusa Tbk.,Telecom,Computer Hardware,Utama,Rp 140,0.35,0.2698412698412698,-0.06666666666666667,-0.0625,0.02857142857142857,0.10185185185185185,-0.01680672268907563,-0.12142857142857143,Perdagangan Besar Komputer dan Perlengkapan Komputer,"Wisma Exa Jl. Inspeksi PAM No.168, Cakung Barat Jakarta Timur 13910",https://www.terra.co.id/,10.401.265 Lot,17.81%,NI - BNI SEKURITAS,NI - BNI SEKURITASC3 - PT CIMB Niaga Sekuritas,2022-06-29,2022-07-05,120,140,2022-07-14,2022-07-18,2022-07-18,2022-07-19,20 Jul 2022,0.0,
Closed,DEWI,PT Dewi Shri Farmindo Tbk,Consumer Staples,"Fish, Meat, & Poultry",Pengembangan,Rp 100,0.35,0.34814814814814815,-0.06593406593406594,-0.06470588235294118,-0.06918238993710692,0.006756756756756757,0.020134228187919462,-0.18,Bergerak di bidang budidaya ayam ras pedaging dan perdagangan eceran hewan ternak,"Kampung Cimenyan, RT 003/RW 003, Desa Cintaasih, Kecamatan Grekbong, Cianjur, Jawa Barat",https://www.dewishrifarmindo.com,7.000.000 Lot,35%,HD - KGI SEKURITAS INDONESIA,HD - KGI SEKURITAS INDONESIAAR - BINAARTHA SEKURITAS,2022-06-27,2022-06-29,100,110,2022-07-12,2022-07-14,2022-07-14,2022-07-15,18 Jul 2022,0.0,
Closed,ARKO,PT Arkora Hydro Tbk,Materials,Electric Utilities,,Rp 300,-0.06666666666666667,0.007142857142857143,0.05673758865248227,0.026845637583892617,0.026143790849673203,0.10828025477707007,-0.005747126436781609,2.25,Pembangkitan tenaga listrik melalui sumber energi baru dan terbarukan yang berasal dari aliran air,"Office 8 Building, Lantai 21 Unit C & D, Jl. Jend. Sudirman Kav. 52-53, Lot 28 SCBD Jakarta 12190, Indonesia",http://www.arkora-hydro.com/,5.799.000 Lot,20%,YP - MIRAE ASSET SEKURITAS INDONESIA,YP - MIRAE ASSET SEKURITAS INDONESIAYJ - LOTUS ANDALAN SEKURITAS,2022-06-20,2022-06-28,286,310,2022-07-04,2022-07-06,2022-07-06,2022-07-07,08 Jul 2022,0.0,
Closed,TRGU,PT Cerestar Indonesia Tbk,Consumer Staples,Processed Foods,Utama,Rp 210,0.24761904761904763,0.24427480916030533,0.24539877300613497,0.2438423645320197,-0.06930693069306931,0.03829787234042553,0.09631147540983606,-0.047619047619047616,Industri Tepung Terigu dan Perdagangan Serealia/Biji-Bijian Melalui Perusahaan Anak dan Jasa Konsult,"The City Tower Lt. 28 Jl. M.H Thamrin No. 81, Menteng Jakarta Pusat 10310 – DKI Jakarta",http://www.cerestargroup.co.id,15.000.000 Lot,18.87%,MG - SEMESTA INDOVEST SEKURITAS,MG - SEMESTA INDOVEST SEKURITAS,2022-06-17,2022-06-23,200,210,2022-07-04,2022-07-06,2022-07-06,2022-07-07,08 Jul 2022,0.0,
Closed,CHEM,PT Chemstar Indonesia Tbk,Utilities,Specialty Chemicals,Pengembangan,Rp 150,0.03333333333333333,-0.06451612903225806,-0.06896551724137931,-0.06666666666666667,-0.007936507936507936,-0.032,0.0,-0.49333333333333335,Perseroan bergerak dalam Industri dan perdagangan bahan kimia spesialisasi untuk industri tekstil,"Jl. Industri Ubrug No. 70, Kp. Cisampih, Kel. Cibinong, Kec. Jatiluhur, Kab. Purwakarta, Jawa Barat 41152",https://www.chemstarindonesia.com,5.000.000 Lot,29.41%,XA - NH KORINDO SEKURITAS INDONESIA,XA - NH KORINDO SEKURITAS INDONESIA,2022-06-20,2022-06-23,150,190,2022-07-04,2022-07-06,2022-07-06,2022-07-07,08 Jul 2022,0.5,Rp 200
Closed,SWID,PT Saraswanti Indoland Development Tbk,Technology,Real Estate Development & Management,Pengembangan,Rp 200,0.08,-0.06481481481481481,-0.06930693069306931,-0.06914893617021277,-0.06857142857142857,-0.06748466257668712,-0.06578947368421052,-0.615,Bergerak dalam bidang usaha Properti & Real Estate,"Jalan Palagan Tentara Pelajar KM. 7 Sariharjo, Ngaglik, Kab. Sleman, Daerah Istimewa Yogyakarta Indonesia - 55581",https://saraswantiproperty.com/,3.400.000 Lot,6.31%,AH - SHINHAN SEKURITAS INDONESIA,AH - SHINHAN SEKURITAS INDONESIA,2022-06-17,2022-06-23,180,200,2022-07-01,2022-07-05,2022-07-05,2022-07-06,07 Jul 2022,1.0,Rp 250
Closed,ASHA,PT Cilacap Samudera Fishing Industry Tbk,Consumer Staples,Food Retail & Distributors,Pemantauan Khusus,Rp 100,0.35,0.34814814814814815,0.34065934065934067,0.2459016393442623,0.25,-0.06842105263157895,-0.06779661016949153,-0.86,Bergerak Dalam Bidang Perdagangan Besar Hasil Perikanan dan Aktivitas Cold Storage,"Jl. Muara Baru Ujung K No. 7D RT 021 RW 17 Penjaringan Jakarta Utara, Indonesia",https://www.csfi.co.id/,12.500.000 Lot,25%,HD - KGI SEKURITAS INDONESIA,HD - KGI SEKURITAS INDONESIABQ - KOREA INVESTMENT AND SEKURITAS INDONESIA,2022-04-22,2022-04-27,100,125,2022-05-19,2022-05-24,2022-05-24,2022-05-25,27 May 2022,0.0,
Canceled,NPII,PT Mandiri Mineral Perkasa Tbk,Basic Materials,Mining Equipment & Services,,Rp 132 - Rp 142,,,,,,,,,Bergerak di bidang jasa penunjang pertambangan dan penggalian lainnya,"Citra Tower Kemayoran, Jl. Benyamin Suaeb Kav A6 Lt. 18A, Kebon Kosong, Kemayoran, Jakarta Pusat",https://www.mandirimineralperkasa.co.id,9.500.000 Lot,0.73%,SF - SURYA FAJAR SEKURITAS,SF - SURYA FAJAR SEKURITASMI - VICTORIA SEKURITAS INDONESIA,20 May 2022,30 May 2022,Rp 132,Rp 142,,,,,,5.0,Rp 500
Closed,OLIV,PT Oscar Mitra Sukses Sejahtera Tbk.,Consumer Staples,Household Products,Akselerasi,Rp 100,0.01,-0.009900990099009901,0.0,0.01,-0.009900990099009901,0.0,0.01,-0.88,Perdagangan eceran furniture untuk barang perlengkapan rumah tangga dan perlengkapan dapur,"Jl. Otista Raya No. 33, Jakarta Timur, Indonesia",https://www.oscarliving.com,4.000.000 Lot,21.1%,II - DANATAMA MAKMUR SEKURITAS,II - DANATAMA MAKMUR SEKURITAS,2022-04-04,2022-04-18,100,125,2022-05-09,2022-05-12,2022-05-12,2022-05-13,17 May 2022,1.0,Rp 120
Closed,WINR,PT Winner Nusantara Jaya Tbk,Technology,Real Estate Development & Management,Pemantauan Khusus,Rp 100,0.35,0.34814814814814815,0.32967032967032966,-0.06611570247933884,-0.061946902654867256,-0.0660377358490566,-0.06565656565656566,-0.84,Bergerak dalam bidang property dan real estate,"Seraya Mas Center Blok H No. 01, Nagoya Kota Batam - 29454",https://www.winnergroup.id,15.000.000 Lot,28.65%,SH - ARTHA SEKURITAS INDONESIA,SH - ARTHA SEKURITAS INDONESIAPG - PANCA GLOBAL SEKURITASFS - YUANTA SEKURITAS INDONESIAYP - MIRAE ASSET SEKURITAS INDONESIA,2022-03-28,2022-04-04,100,140,2022-04-19,2022-04-21,2022-04-21,2022-04-22,25 Apr 2022,0.87,Rp 250
Closed,IBOS,PT Indo Boga Sukses Tbk,Consumer Staples,Processed Foods,Akselerasi,Rp 100,0.1,0.01818181818181818,0.026785714285714284,0.02608695652173913,0.0,0.0,0.0,0.42,Restoran dan Aktivitas Perusahaan Holding,"Jalan Raya Randugowang, Desa Sendangadi, Kecamatan Mlati, Kabupaten Sleman, Yogyakarta 55285",https://indobogasukses.com/,16.073.600 Lot,20%,SF - SURYA FAJAR SEKURITAS,SF - SURYA FAJAR SEKURITASXA - NH KORINDO SEKURITAS INDONESIA,2022-03-31,2022-04-06,65,100,2022-04-19,2022-04-21,2022-04-21,2022-04-22,25 Apr 2022,0.5,Rp 180
Closed,MTMH,PT Murni Sadar Tbk,Healthcare,Healthcare Providers,Utama,Rp 1.280,0.25,0.059375,-0.04129793510324484,-0.018461538461538463,-0.03134796238244514,0.022653721682847898,0.02531645569620253,-0.1484375,Bergerak di bidang aktivitas rumah sakit swasta,"Jl. Jawa No. 2, LK II, Gg. Buntu, Medan Timur, Kota Medan, Sumatera Utara - 20231",https://www.rsmurniteguh.com,2.540.228 Lot,12.28%,KI - CIPTADANA SEKURITAS ASIA,KI - CIPTADANA SEKURITAS ASIASQ - BCA SEKURITAS,2022-03-24,2022-03-30,1180,1480,2022-04-13,2022-04-18,2022-04-18,2022-04-19,20 Apr 2022,0.0,
Closed,TLDN,PT Teladan Prima Agro Tbk.,Consumer Staples,Plantations & Crops,Pengembangan,Rp 580,0.0603448275862069,-0.024390243902439025,0.008333333333333333,-0.01652892561983471,-0.01680672268907563,0.008547008547008548,0.1271186440677966,-0.18275862068965518,Aktvitas perusahaan holding dan industri pengolahan kelapa sawit melalui Perusahaan Anak,"Beltway Office Park Gedung B Lantai 7, Jl. TB Simatupang No.41, Kota Jakarta Selatan, 12540",https://www.teladanprima.com,5.178.612 Lot,4%,NI - BNI SEKURITAS,NI - BNI SEKURITASC3 - PT CIMB Niaga Sekuritas,2022-03-17,2022-03-25,520,600,2022-04-04,2022-04-08,2022-04-08,2022-04-11,12 Apr 2022,0.0,
Closed,GOTO,PT GoTo Gojek Tokopedia Tbk,Telecom,Online Applications & Services,Ekonomi Baru,Rp 338,0.1301775147928994,-0.031413612565445025,0.010810810810810811,0.0053475935828877,0.005319148936170213,-0.05291005291005291,-0.055865921787709494,-0.7928994082840237,"Penyedia platform digital yang mengintegrasikan on-demand services, e-commerce dan fintech services","Gedung Pasaraya Blok M, lantai 6-7 Jl. Iskandarsyah II No. 2, Jakarta 12160",https://www.gotocompany.com,406.150.560 Lot,3.43%,CC - MANDIRI SEKURITAS,CC - MANDIRI SEKURITASC3 - PT CIMB Niaga SekuritasD4 - PT Deutsche Sekuritas IndonesiaGR - PANIN SEKURITAS TBK.AZ - SUCOR SEKURITASCS - CREDIT SUISSE SEKURITAS INDONESIANI - BNI SEKURITASPP - ALDIRACITA SEKURITAS INDONESIALG - TRIMEGAH SEKURITAS INDONESIA TBK.RO - PLUANG MAJU SEKURITASPD - INDO PREMIER SEKURITASKZ - CLSA SEKURITAS INDONESIACP - KB VALBURY SEKURITAS,2022-03-15,2022-03-24,316,346,2022-04-01,2022-04-07,2022-04-07,2022-04-08,11 Apr 2022,0.0,
Closed,SICO,PT Sigma Energy Compressindo Tbk,Financials,"Oil, Gas & Coal Equipment & Services",Pengembangan,Rp 230,0.10434782608695652,-0.06299212598425197,-0.06722689075630252,-0.06306306306306306,-0.0673076923076923,-0.06701030927835051,-0.022099447513812154,-0.5304347826086957,Jasa Penyewaan Alat-Alat Untuk Monetisasi Minyak dan Gas Suar Bakar dengan Menggunakan Teknologi,"GKM Green Tower 10th Floor Jl. TB Simatupang Kav 89 G Jakarta Selatan, 12520",https://sinerco.co.id,2.700.000 Lot,29.67%,XA - NH KORINDO SEKURITAS INDONESIA,XA - NH KORINDO SEKURITAS INDONESIA,2022-03-15,2022-03-18,190,230,2022-04-04,2022-04-06,2022-04-06,2022-04-07,08 Apr 2022,0.1,Rp 350
Closed,WIRG,PT WIR ASIA Tbk,Telecom,Software,Pengembangan,Rp 168,0.34523809523809523,0.24778761061946902,0.24822695035460993,0.25,0.25,0.24545454545454545,0.24817518248175183,-0.4642857142857143,"Jasa teknologi informasi termasuk bidang multimedia, telekomunikasi dan periklanan",Jalan Panjang Raya No. 70 Kebon Jeruk Jakarta 11530 - Indonesia,https://www.wirglobal.com,23.370.900 Lot,20%,KI - CIPTADANA SEKURITAS ASIA,KI - CIPTADANA SEKURITAS ASIA,2022-03-14,2022-03-17,150,175,2022-03-29,2022-03-31,2022-03-31,2022-04-01,04 Apr 2022,0.3,Rp 188
Closed,BIKE,PT Sepeda Bersama Indonesia Tbk,Energy,Sport Equipment & Hobbies Goods,Pengembangan,Rp 170,0.3411764705882353,0.24561403508771928,-0.06338028169014084,-0.06766917293233082,-0.056451612903225805,-0.02564102564102564,-0.06140350877192982,2.5,Perdagangan Besar Sepeda,"Jl. Alam Sutera Boulevard Kav. 12A, Pakulon, Serpong Utara Tangerang Selatan, Banten 15325",https://www.sepedabersamaindonesia.co.id,3.233.340 Lot,25%,LG - TRIMEGAH SEKURITAS INDONESIA TBK.,LG - TRIMEGAH SEKURITAS INDONESIA TBK.XA - NH KORINDO SEKURITAS INDONESIAYP - MIRAE ASSET SEKURITAS INDONESIA,2022-02-15,2022-02-24,160,170,2022-03-14,2022-03-17,2022-03-17,2022-03-18,21 Mar 2022,0.5,Rp 492
Closed,NANO,PT Nanotech Indonesia Global Tbk,Consumer Discretionary,Business Support Services,Akselerasi,Rp 100,0.1,0.1,0.0,0.2066115702479339,0.0958904109589041,0.1,-0.09090909090909091,-0.83,Penelitian & Pengembangan Ilmu Pengetahuan Alam & Teknologi Rekayasa Lainnya & Aktivitas Konsultasi,"Gedung Nanoplex, Jl. Puspiptek Komplek Batan Lama A12, Kota Tangerang Selatan, Provinsi Banten - 15314",https://nig.co.id,12.850.000 Lot,29.99%,AI - KAY HIAN SEKURITAS,AI - KAY HIAN SEKURITAS,2022-02-08,2022-02-15,95,105,2022-03-02,2022-03-08,2022-03-08,2022-03-09,10 Mar 2022,0.8,Rp 125
Closed,STAA,PT SUMBER TANI AGUNG RESOURCES Tbk,Consumer Staples,Plantations & Crops,Utama,Rp 600,0.25,0.24666666666666667,-0.06951871657754011,-0.06896551724137931,0.006172839506172839,0.0,-0.04294478527607362,0.44166666666666665,Perkebunan kelapa sawit & industri olah kelapa sawit baik secara langsung dan/atau Perusahaan Anak,"Jl. Pangeran Diponegoro No 51 Medan 20152, Sumatra Utara, Indonesia",http://sta.co.id,8.770.720 Lot,8.06%,DP - DBS VICKERS SEKURITAS INDONESIA,DP - DBS VICKERS SEKURITAS INDONESIAC3 - PT CIMB Niaga Sekuritas,2022-02-09,2022-02-15,470,605,2022-03-02,2022-03-08,2022-03-08,2022-03-09,10 Mar 2022,0.0,
Closed,SMKM,PT Sumber Mas Konstruksi Tbk,Materials,Heavy Constructions & Civil Engineering,Akselerasi,Rp 264,-0.09848484848484848,-0.09243697478991597,0.009259259259259259,0.0,-0.1834862385321101,-0.028089887640449437,0.08670520231213873,-0.6818181818181818,Jasa Konstruksi Umum,"Gedung Graha Mustika Ratu, Lantai 5 Jalan Jend. Gatot Subroto Kav. 74-75 Jakarta Selatan, 12870",http://www.konstruksimas.co.id/,2.500.000 Lot,19.95%,AO - ERDIKHA ELIT SEKURITAS,AO - ERDIKHA ELIT SEKURITAS,2022-02-04,2022-02-10,150,350,2022-03-02,2022-03-07,2022-03-07,2022-03-08,09 Mar 2022,0.0,
Closed,ADCP,PT ADHI COMMUTER PROPERTI TBK,Technology,Real Estate Development & Management,,Rp 130,-0.06153846153846154,-0.06557377049180328,-0.06140350877192982,-0.06542056074766354,-0.07,0.13978494623655913,-0.0660377358490566,-0.6153846153846154,Perhotelan dan Real Estate,"South Building PT Adhi Karya (Persero) Tbk, Jl. Raya Pasar Minggu, Km. 18 Jakarta Selatan, DKI Jakarta 12510",https://www.adcp.co.id,22.222.222 Lot,10%,AZ - SUCOR SEKURITAS,AZ - SUCOR SEKURITASC3 - PT CIMB Niaga SekuritasGR - PANIN SEKURITAS TBK.IP - YUGEN BERTUMBUH SEKURITASZP - MAYBANK SEKURITAS INDONESIARS - YULIE SEKURITAS INDONESIA TBK.YP - MIRAE ASSET SEKURITAS INDONESIA,2022-01-27,2022-02-07,130,200,2022-02-16,2022-02-21,2022-02-21,2022-02-22,23 Feb 2022,0.0,
Closed,NTBK,PT Nusatama Berkah Tbk,Consumer Discretionary,Construction Machinery & Heavy Vehicles,Pengembangan,Rp 100,0.35,-0.06666666666666667,-0.06349206349206349,-0.06779661016949153,-0.06363636363636363,0.04854368932038835,-0.037037037037037035,-0.5,Industri Manufaktur Kendaraan Khusus,"18 Office Park 6th Floor Suite C, Jl. TB Simatupang Kav. 18, Jakarta 12520, Indonesia",http://www.nusatama.com/,7.000.000 Lot,25.93%,SF - SURYA FAJAR SEKURITAS,SF - SURYA FAJAR SEKURITASII - DANATAMA MAKMUR SEKURITAS,2022-01-19,2022-01-27,100,150,2022-02-02,2022-02-07,2022-02-07,2022-02-08,09 Feb 2022,1.0,Rp 120
Closed,ENAK,PT Champ Resto Indonesia Tbk,Energy,Restaurants,Pengembangan,Rp 850,-0.029411764705882353,-0.012121212121212121,0.012269938650306749,-0.04242424242424243,-0.06329113924050633,-0.060810810810810814,0.014388489208633094,0.19411764705882353,bergerak dalam bidang restoran,"Jl. Raya Tanjung Barat No. 81A RT 002/04, Tanjung Barat, Jagakarsa, Jakarta Selatan 12530.",https://www.champ-group.com/,4.333.334 Lot,20%,AI - KAY HIAN SEKURITAS,AI - KAY HIAN SEKURITAS,2022-01-12,2022-01-20,800,950,2022-02-02,2022-02-04,2022-02-04,2022-02-07,08 Feb 2022,0.0,
Closed,BAUT,PT Mitra Angkasa Sejahtera Tbk,Energy,Home Improvement Retail,Pemantauan Khusus,Rp 100,0.35,0.34814814814814815,0.34065934065934067,-0.06557377049180328,-0.06140350877192982,-0.06542056074766354,-0.07,-0.82,"Bergerak dalam bidang Perdagangan Besar Logam untuk Bahan Konstruksi, terutama Mur dan Baut","Jl. Raya Tanjung Pasir KP. Pondok Bahagia No.18, Tegal Angus, Teluknaga, Tangerang, Banten 15510.",https://masworkspace.com,14.500.000 Lot,30.21%,AI - KAY HIAN SEKURITAS,AI - KAY HIAN SEKURITAS,2022-01-04,2022-01-10,100,110,2022-01-21,2022-01-26,2022-01-26,2022-01-27,28 Jan 2022,0.8,Rp 125
Closed,NETV,PT NET VISI MEDIA TBK,Energy,Broadcasting,Pemantauan Khusus,Rp 196,0.3469387755102041,0.25,0.24848484848484848,0.25,0.24271844660194175,-0.0625,-0.06666666666666667,-0.5867346938775511,Industri Media,"Graha Mitra Lt.4 Jl. Jend. Gatot Subroto Kav. 21 RT 003 RW 002, Karet Semanggi, Setiabudi",https://www.netvisimedia.co.id,7.653.061 Lot,4.37%,XA - NH KORINDO SEKURITAS INDONESIA,XA - NH KORINDO SEKURITAS INDONESIA,2021-12-27,2022-01-03,190,196,2022-01-19,2022-01-24,2022-01-24,2022-01-25,26 Jan 2022,0.0,
Closed,ASLC,PT Autopedia Sukses Lestari Tbk,Energy,Automotive Retail,Pengembangan,Rp 256,0.25,-0.06875,0.013422818791946308,-0.013245033112582781,-0.03355704697986577,0.05555555555555555,-0.019736842105263157,-0.6015625,Balai lelang melalui Entitas Anak dan perdagangan eceran mobil,"Gedung Graha Kirana Lt.6 Jl. Yos Sudarso No. 88 Sunter, Jakarta Utara 14350",https://www.autopedia.id,25.492.710 Lot,20%,LG - TRIMEGAH SEKURITAS INDONESIA TBK.,LG - TRIMEGAH SEKURITAS INDONESIA TBK.KI - CIPTADANA SEKURITAS ASIA,2021-12-29,2022-01-05,200,276,2022-01-19,2022-01-21,2022-01-21,2022-01-24,25 Jan 2022,0.0,
Closed,SEMA,PT SEMACOM INTEGRATED TBK,Consumer Discretionary,Electrical Components & Equipment,Pengembangan,Rp 180,0.34444444444444444,0.12396694214876033,-0.0661764705882353,-0.06299212598425197,0.01680672268907563,0.08264462809917356,0.0,-0.42777777777777776,"Produksi Panel, Perakitan Baterai Listrik dan Energi Terbarukan","Jl. Intan I RT 001/001, Kp. Poncol, Ds. Curug, Kec. Gunung Sindur, Bogor 16340, Jawa Barat",https://www.semacom-integrated.com,3.470.000 Lot,25.76%,XA - NH KORINDO SEKURITAS INDONESIA,XA - NH KORINDO SEKURITAS INDONESIA,2021-12-17,2021-12-22,180,220,2022-01-04,2022-01-06,2022-01-06,2022-01-07,10 Jan 2022,0.5,Rp 230
Closed,ADMR,PT Adaro Minerals Indonesia Tbk,Financials,Coal Production,Utama,Rp 100,0.35,0.34814814814814815,0.34065934065934067,0.2459016393442623,0.25,0.24736842105263157,0.24472573839662448,13.25,"Pertambangan batu bara metalurgi melalui Perusahaan Anak, jasa pertambangan dan konsultasi manajemen","Cyber 2 Tower Lantai 34, Jl. H.R. Rasuna Said Blok X-5 No.13, Jakarta 12950 - Indonesia",https://www.adarominerals.id,60.485.800 Lot,15%,KI - CIPTADANA SEKURITAS ASIA,KI - CIPTADANA SEKURITAS ASIA,2021-12-09,2021-12-16,100,125,2021-12-27,2021-12-29,2021-12-29,2021-12-30,03 Jan 2022,0.0,
Closed,DRMA,PT Dharma Polimetal Tbk,Energy,Auto Parts & Equipment,Utama,Rp 500,-0.008,-0.036290322580645164,0.0,0.07740585774058577,0.019417475728155338,0.0,-0.02857142857142857,1.16,Manufaktur Komponen Kendaraan Bermotor,"Jl. Angsana Raya Blok A9 No. 8 Delta Silicon I Kawasan Industri Lippo Cikarang Kelurahan Sukaresmi, Kecamatan Cikarang Selatan, Kabupaten Bekasi Jawa Barat - Indonesia",https://www.dharmagroup.co.id,7.058.823 Lot,15%,AZ - SUCOR SEKURITAS,AZ - SUCOR SEKURITASC3 - PT CIMB Niaga SekuritasEP - MNC SEKURITAS,2021-11-19,2021-11-30,500,620,2021-12-13,2021-12-16,2021-12-16,2021-12-17,20 Dec 2021,0.0,
Closed,BSML,PT Bintang Samudera Mandiri Lines Tbk,Real Estate,Logistics & Deliveries,Pengembangan,Rp 117,0.3418803418803419,-0.025477707006369428,-0.06535947712418301,-0.02097902097902098,-0.06428571428571428,0.06870229007633588,0.05714285714285714,-0.11965811965811966,Bergerak dalam angkutan laut dalam negeri untuk barang khusus serta perdagangan besar,"Rasuna Office Park OR, Jl. H. R. Rasuna Said, RT.16/RW.1, Menteng Atas, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12960",https://bsmlines.com/,3.700.450 Lot,20%,II - DANATAMA MAKMUR SEKURITAS,II - DANATAMA MAKMUR SEKURITAS,2021-11-16,2021-11-25,100,150,2021-12-09,2021-12-14,2021-12-14,2021-12-15,16 Dec 2021,0.0,
Closed,NASI,PT Wahana Inti Makmur Tbk,Consumer Staples,Food Retail & Distributors,Pengembangan,Rp 155,0.3419354838709677,0.17307692307692307,-0.06557377049180328,-0.06140350877192982,0.009345794392523364,0.018518518518518517,0.0,-0.43870967741935485,Bergerak dalam bidang Produsen dan Pemasok Beras,"Jalan Mohammad Husni Thamrin Kilometer 2, Duta Indah Iconic Tower G, Lantai 1, Kel. Panunggangan Utara, Kec. Pinang, Kota Tangerang, Prov. Banten, 15143",https://www.wahanaintimakmur.com,2.000.000 Lot,24.77%,AI - KAY HIAN SEKURITAS,AI - KAY HIAN SEKURITAS,2021-11-17,2021-11-23,140,160,2021-12-07,2021-12-09,2021-12-09,2021-12-10,13 Dec 2021,0.0,
Closed,IPPE,PT Indo Pureco Pratama Tbk,Consumer Staples,Household Products,Pemantauan Khusus,Rp 100,0.35,0.34814814814814815,0.34065934065934067,-0.06557377049180328,-0.06140350877192982,-0.06542056074766354,-0.07,-0.86,Industri minyak kelapa dan produk dari kelapa serta perdagangan,"Batununggul 1, Balingbing, Pagaden Barat. Subang, Jawa Barat, 41252",https://indopureco.com/,10.000.000 Lot,21.74%,HD - KGI SEKURITAS INDONESIA,HD - KGI SEKURITAS INDONESIAYP - MIRAE ASSET SEKURITAS INDONESIA,2021-11-18,2021-11-25,100,110,2021-12-02,2021-12-07,2021-12-07,2021-12-08,09 Dec 2021,0.0,
Closed,AVIA,PT Avia Avian Tbk,Utilities,Construction Materials,Utama,Rp 930,-0.06989247311827956,-0.03468208092485549,0.04790419161676647,0.022857142857142857,-0.0111731843575419,0.005649717514124294,0.033707865168539325,-0.46236559139784944,"Industri dan perdagangan cat dan tinta cetak, pernis, lak, perekat/lem, mortar atau beton siap pakai","Jl. Surabaya - Sidoarjo KM. 19, Kel. Wadungasih, Kec. Buduran, Sidoarjo 61254, Jawa Timur",https://www.avianbrands.com,62.000.000 Lot,10.01%,CC - MANDIRI SEKURITAS,CC - MANDIRI SEKURITASS0 - PT Morgan Stanley Sekuritas IndonesiaCS - CREDIT SUISSE SEKURITAS INDONESIALG - TRIMEGAH SEKURITAS INDONESIA TBK.PF - DANASAKTI SEKURITAS INDONESIAAK - UBS SEKURITAS INDONESIA,2021-11-12,2021-11-18,780,930,2021-12-02,2021-12-06,2021-12-06,2021-12-07,08 Dec 2021,0.0,
Closed,OBMD,PT OBM Drilchem Tbk,Utilities,Specialty Chemicals,Pengembangan,Rp 180,-0.06666666666666667,-0.06547619047619048,-0.06369426751592357,-0.02040816326530612,-0.020833333333333332,0.06382978723404255,-0.02666666666666667,0.28888888888888886,Memproduksi bahan aditif untuk mencegah kerugian dalam aktivitas pengeboran dengan teknologi serat,"Dipo Business Center 7th floor, Suite 7E Jl. Gatot Subroto Kav. 50-52, Jakarta 10260",http://www.drilchem.com/,1.820.000 Lot,24.86%,HD - KGI SEKURITAS INDONESIA,HD - KGI SEKURITAS INDONESIA,2021-11-18,2021-11-22,150,180,2021-12-02,2021-12-06,2021-12-06,2021-12-07,08 Dec 2021,0.5,Rp 180
Closed,RMKE,PT RMK Energy Tbk,Financials,Coal Distribution,Utama,Rp 206,-0.02912621359223301,-0.015,0.0,0.17766497461928935,-0.02586206896551724,-0.02654867256637168,0.02727272727272727,1.9368932038834952,Bergerak dalam bidang pertambangan batubara dan aktivitas perusahaan holding,"Wisma RMK Lantai 2 Jalan Puri Kencana Blok M4/1, Kembangan Selatan, Kembangan, Kota Adm. Jakarta Barat, DKI Jakarta 11610",http://www.rmkenergy.com/,8.750.000 Lot,20%,IU - INDO CAPITAL SEKURITAS,IU - INDO CAPITAL SEKURITASMG - SEMESTA INDOVEST SEKURITASAO - ERDIKHA ELIT SEKURITASMI - VICTORIA SEKURITAS INDONESIAKK - PHILLIP SEKURITAS INDONESIA,2021-11-10,2021-11-15,160,230,2021-11-30,2021-12-03,2021-12-03,2021-12-06,07 Dec 2021,0.0,
Closed,WMPP,PT Widodo Makmur Perkasa Tbk,Consumer Staples,"Fish, Meat, & Poultry",Pemantauan Khusus,Rp 160,,,,,,,,-0.925,"Peternakan Sapi & Ayam, Rumah Potong Hewan, Daging & Olahan, Pakan Ternak, Bahan Makanan, Konstruksi","Gedung Graha Widodo Makmur Jalan Raya Cilangkap No. 58, Cilangkap, Cipayung, Jakarta Timur, 13870",https://widodomakmurperkasa.co.id/,44.190.000 Lot,15.02%,SF - SURYA FAJAR SEKURITAS,SF - SURYA FAJAR SEKURITASC3 - PT CIMB Niaga SekuritasRS - YULIE SEKURITAS INDONESIA TBK.OD - BRI DANAREKSA SEKURITASIF - SAMUEL SEKURITAS INDONESIAYP - MIRAE ASSET SEKURITAS INDONESIACP - KB VALBURY SEKURITAS,2021-10-27,2021-11-09,160,220,2021-11-30,2021-12-02,2021-12-02,2021-12-03,06 Dec 2021,0.0,
